"EMAIL","FIRST_NAME","LAST_NAME","ADDRESS_LINE_1","ADDRESS_LINE_2","CITY","STATE_PROVINCE_REGION","POSTAL_CODE","COUNTRY","ALTERNATE_EMAILS","PHONE_NUMBER","WHATSAPP","LINE","FACEBOOK","UNIQUE_NAME","CREATED_AT","UPDATED_AT","CONTACT_ID","ProfileSubmitDate","DocumentReceived","CBFinAidID","PreferredName","AwardYear","AwardYearText","IDOCEnabled","OrganizationName","ProfileFileAvailable","PHONE_NUMBER_ID","EXTERNAL_ID","ANONYMOUS_ID"
"d6927-ind@yopmail.com","Mark","D6927-Ind",,,,,,,,,,,,,"2024-07-15T16:10:05Z","2024-07-15T16:10:35Z","b1029e70-1189-419a-9af7-5f2b1795e3fc",,,"ZAARSMG","Mark","2026","2025-26","Y",,,,,
"b15008-inas1@yopmail.com","Mark","B15008-Inas1",,,,,,,,,,,,,"2024-07-17T21:45:06Z","2024-07-17T22:00:36Z","23b291f1-bd0c-4277-ad45-5e5e57329a06",,,"ZAARSNB","Mark","2026","2025-26","Y",,,,,
"sidejobacornhha@yopmail.com","Side Job","Acorn",,,,,,,,,,,,,"2024-08-14T20:10:03Z","2024-08-14T20:10:33Z","56195f6f-247b-4489-ac2e-c672437b388c",,,"ZAARSPU","Side Job","2026","2025-26","Y",,,,,
"kbjune17test1@yopmail.com","KBJune17Test1","KBJune17Test1",,,,,,,,,,,,,"2024-06-17T18:00:07Z","2024-06-21T15:30:37Z","416b6740-bd9f-4e4b-982d-79c2ec0bb247",,,"ZAARSK2","kbjune17Test1","2026","2025-26","Y",,,,,
"b14896-1@yopmail.com","Mark","B14896-1",,,,,,,,,,,,,"2024-06-26T16:20:04Z","2024-06-26T16:20:34Z","7921fcab-181b-4f9c-a74f-0bf56b79215e",,,"ZAARSKY","Mark","2026","2025-26","Y",,,,,
"toddboard@yopmail.com","Todd","Board",,,,,,,,,,,,,"2024-06-07T14:00:07Z","2024-06-21T15:30:37Z","a6cd9486-756d-461a-b6e9-f903413ef39b",,,"ZAARSJE","Todd","2026","2025-26","Y",,,,,
"mkram812@yopmail.com","mtestadopt","Mtestadopt",,,,,,,,,,,,,"2024-08-12T16:00:07Z","2024-08-12T16:10:39Z","412802f0-8d99-4a97-a1de-214988045b9d",,,"ZAARSP8","mtestadopt","2026","2025-26","Y",,,,,
"indeptransfer@yopmail.com","Dad","Acorn",,,,,,,,,,,,,"2024-07-22T15:30:05Z","2024-07-22T15:30:36Z","c5a878b1-369d-4f17-958b-26a549e74b58",,,"ZAAR9Q1","IndepTransfer","2026","2025-26","Y",,,,,
"janetest3@mailinator.com","Jane","Test3",,,,,,,,,,,,,"2024-05-22T10:03:42Z","2024-07-15T23:18:25Z","b3906db0-09af-43ba-a71b-4a9b931e5d96","2024-07-09T17:59:19Z",,"ZAARSIM","Jane","2026","2025-26",,,,,,
"mkram807@yopmail.com","mtestefnar","mtestefnar",,,,,,,,,,,,,"2024-08-07T18:33:10Z","2024-08-08T23:18:04Z","e4667a39-e447-48e8-8957-b00c46bf19e4","2024-08-08T14:19:44Z",,"ZAARSP5","mtestefnar","2026","2025-26",,,,,,
"mkram6193@yopmail.com","mktest3","Mktest3",,,,,,,,,,,,,"2024-06-19T18:19:09Z","2024-06-21T15:30:37Z","ae10dd29-b9d9-494e-87d7-7107d85dea2e","2024-06-19T18:33:04Z",,"ZAARSKJ","mktest3","2026","2025-26","Y",,,,,
"farmboard@yopmail.com","Farm","Board",,,,,,,,,,,,,"2024-06-04T10:03:47Z","2024-06-21T17:18:51Z","7002661d-7acd-4476-8bcb-4f882130ae24","2024-06-06T21:07:49Z","2024-06-20T04:00:00Z","ZAARS9M","Farm","2026","2025-26","Y",,,,,
"businessboard@yopmail.com","Business Board","Board",,,,,,,,,,,,,"2024-05-31T13:50:04Z","2024-06-21T17:18:51Z","cae8cf5d-d4ab-468d-b6ac-90055109f029",,"2024-06-20T04:00:00Z","B00003V","Buzz","2026","2025-26","Y",,,,,
"sueboard@yopmail.com","Sue","Board",,,,,,,,,,,,,"2024-06-06T16:00:07Z","2024-06-21T15:30:37Z","ef9be0a2-6db2-46c0-8fc3-4d6ef67db36d",,,"ZAARSJA","Sue","2026","2025-26","Y",,,,,
"pierreboard@yopmail.com","PIerre","Board",,,,,,,,,,,,,"2024-05-31T16:00:05Z","2024-06-21T17:18:51Z","e24465b0-e99c-4abd-9b7f-cba5baef6594",,"2024-06-20T04:00:00Z","ZAAR9AT","PIerre","2026","2025-26","Y",,,,,
"kbjune9testing@yopmail.com","KBJune9Testing","KBJune9Testing",,,,,,,,,,,,,"2024-05-16T18:30:08Z","2024-06-21T15:30:37Z","902c3830-d724-40a0-ba76-d3de8591a4b3",,,"ZAARSIE","KBJune9Preferred","2026","2025-26","Y",,,,,
"mkram6183@yopmail.com","maddietest3","Maddietest3",,,,,,,,,,,,,"2024-06-18T19:18:40Z","2024-06-21T15:30:37Z","83afaaf2-30ef-44f3-83bf-e99687a6f4d3","2024-06-18T19:20:31Z",,"ZAARSKG","maddietest3","2026","2025-26","Y",,,,,
